Date,Open,High,Low,Close,Adj Close,Volume
2019-12-16,2096.000000,2136.000000,2080.300049,2126.750000,2086.768066,5574177
2019-12-17,2126.500000,2169.000000,2119.000000,2164.949951,2124.250000,6059673
2019-12-18,2174.000000,2203.449951,2153.000000,2167.750000,2126.997314,8251081
2019-12-19,2179.800049,2236.500000,2167.550049,2229.050049,2187.145264,6251505
2019-12-20,2220.000000,2246.699951,2208.250000,2222.899902,2181.110596,5548338
2019-12-23,2210.000000,2241.949951,2210.000000,2231.699951,2189.744873,2247329
2019-12-24,2239.000000,2243.550049,2211.149902,2215.600098,2173.947998,1805896
2019-12-26,2216.399902,2229.000000,2195.199951,2201.949951,2160.554688,1880367
2019-12-27,2208.000000,2226.399902,2176.000000,2198.500000,2157.169434,2720261
2019-12-30,2207.000000,2225.000000,2177.100098,2183.199951,2142.156738,2288830
2019-12-31,2189.000000,2197.000000,2157.449951,2161.699951,2121.061035,1909289
2020-01-01,2168.000000,2183.899902,2154.000000,2167.600098,2126.850586,1354908
2020-01-02,2179.949951,2179.949951,2149.199951,2157.649902,2117.087158,2380752
2020-01-03,2164.000000,2223.000000,2164.000000,2200.649902,2159.278564,4655761
2020-01-06,2205.000000,2225.949951,2187.899902,2200.449951,2159.082520,3023209
2020-01-07,2200.500000,2214.649902,2183.800049,2205.850098,2164.381104,2429317
2020-01-08,2205.000000,2260.000000,2202.050049,2255.250000,2212.852539,5197454
2020-01-09,2248.750000,2251.949951,2210.000000,2214.350098,2172.721680,3734173
2020-01-10,2228.000000,2234.000000,2208.000000,2213.550049,2171.936523,1915807
2020-01-13,2217.850098,2218.949951,2184.699951,2190.350098,2149.172852,2843893
2020-01-14,2195.000000,2229.800049,2195.000000,2206.899902,2165.411377,2948452
2020-01-15,2213.000000,2231.000000,2194.199951,2226.899902,2185.035400,2620681
2020-01-16,2226.949951,2249.000000,2215.000000,2238.800049,2196.711670,3117214
2020-01-17,2240.750000,2253.550049,2213.000000,2219.100098,2177.382080,3281059
2020-01-20,2194.899902,2242.199951,2156.199951,2170.350098,2129.548828,5817599
2020-01-21,2169.949951,2186.550049,2158.050049,2171.050049,2130.235352,1902980
2020-01-22,2181.000000,2210.000000,2173.699951,2206.899902,2165.411377,1773686
2020-01-23,2209.800049,2217.750000,2183.699951,2190.949951,2154.642822,2069866
2020-01-24,2190.949951,2190.949951,2170.000000,2183.399902,2147.218018,1319430
2020-01-27,2189.699951,2193.449951,2165.000000,2169.250000,2133.302490,1549101
2020-01-28,2174.000000,2187.800049,2152.000000,2183.750000,2147.562012,1743024
2020-01-29,2185.000000,2186.949951,2150.000000,2154.600098,2118.895508,2306761
2020-01-30,2160.000000,2165.000000,2125.000000,2137.850098,2102.423096,2098567
2020-01-31,2139.399902,2144.350098,2071.600098,2079.050049,2044.597412,3287223
2020-02-03,2152.000000,2194.699951,2093.199951,2102.500000,2067.658691,4728073
2020-02-04,2129.000000,2136.699951,2086.600098,2107.750000,2072.821533,3509339
2020-02-05,2115.000000,2156.699951,2104.300049,2146.550049,2110.978760,2439322
